Fiscal Year ,Summary Report Date,Date of Incident,Preliminary Description of Incident,
FY 2012,6/30/2012,6/26/2012,"Jason Inc., Benton, IL 62812","Collision of two Sea-Doo boats being demonstrated by manufacturer, one worker fatality."
FY 2012,6/30/2012,6/26/2012,"Lane Line LLC, Brookhaven, MS 39601",Worker performing measurements inside a workzone was struck and killed by a company truck.
FY 2012,6/30/2012,6/27/2012,"Florida Natives Nursery Inc., Englewood, FL 33565",Worker drowned after being pinned underwater by an overturned dozer.
FY 2012,6/30/2012,6/27/2012,"Hav-Tech Inc., Fairfield, OH 45014",Worker installing plywood sheeting on a roof fell from a ladder after suffering an apparent heart attack.
FY 2012,6/30/2012,6/27/2012,"Midwest Steeplejacks, Fargo, ND 58104",Worker died after falling 153 feet from a cellphone tower.
FY 2012,6/30/2012,6/27/2012,"Seven Hills Dairy LLC, Goodland, IN 47948",Worker at a dairy farm was crushed by a front loader bucket.
FY 2012,6/30/2012,6/28/2012,"Key Energy Services, Arboles, CO 81121",Worker performing rigging operations died after falling from the rig platform.
FY 2012,6/30/2012,6/28/2012,"R & B Mechanical Inc., West Mittlin, PA 15122",Worker died of a possible heart attack or from being caught between top of aerial lift and the ceiling.
FY 2012,6/30/2012,6/29/2012,"Bluegrass Materials Company LLC, Baxter, KY 40806",Worker at a construction materials company died when the forklift he was operating overturned.
FY 2012,7/7/2012,5/22/2012,"AJG Inc., Washington, DC 20008",Worker died after falling through a floor opening at a residential construction site.
FY 2012,7/7/2012,5/23/2012,"Browntree Horses, Macon, GA 31211",Worker died from blunt force trauma to the head when a horse she was caring for kicked or stepped on her.
FY 2012,7/7/2012,6/7/2012,"Bes Packaging Corp., Elk Grove Village, IL 60007",Worker changing a mold on a thermo forming machine was found dead slumped over at the machine.
FY 2012,7/7/2012,6/15/2012,"Lakewood 400 Antiques Market LLC, Cumming, GA 30040","Worker at an antiques market was crushed by a 2,600-pound pill press machine."
FY 2012,7/7/2012,6/18/2012,"Cooper Road LLC, Parsonburg, MD 21849",Worker died after falling six feet while installing wiring.
FY 2012,7/7/2012,6/20/2012,"Long Cove Development Inc., Malakoff, TX 75148",Worker at a residential community development was struck and killed by a falling tree.
FY 2012,7/7/2012,6/21/2012,"Rosiek Construction Co., Inc., Blytheville, AK 72315",Worker performing construction activities collapsed and died from possible heat stress.
FY 2012,7/7/2012,6/23/2012,"Obayashi Corporation, Austin, TX 78726",Worker removing concrete at a construction site died after collapsing.
FY 2012,7/7/2012,6/24/2012,"Baja Ranch LLC, Lordsburg, NM 88045",Worker was run over and killed by a field tractor.
FY 2012,7/7/2012,6/24/2012,"Grand Isle Shipyard Inc., Abbeville, LO 70510",Worker was struck and killed by a forklift after the forklift's brakes failed.
FY 2012,7/7/2012,6/24/2012,"Samsung Austin Semiconductor LLC, Austin, TX 78754",Worker was found laying face down in the doorway of the stairs.
FY 2012,7/7/2012,6/24/2012,"T.H. Construction Company, Bennet, NE 68317",Worker using a pipe wrench to loosen the cap from an utility line was killed when the wrench struck his head.
FY 2012,7/7/2012,6/25/2012,"A C & S Inc., Nitro, WV 25143",Worker using a supply air hood to perform sandblast operations died from asphyxiation when the air hood was wrongfully connected to a nitrogen line.
FY 2012,7/7/2012,6/25/2012,"Symmetry Turf Installations LLC, Fayetteville, AR 72701",Worker laying artificial turf died from possible heat stress.
FY 2012,7/7/2012,6/26/2012,"River Parish Disposal, Metairie, LA 70003",Worker making repairs underneath a garbage truck was killed when the truck rolled over him.
FY 2012,7/7/2012,6/27/2012,"R & R Holsteins, Gooding, ID 83330",Worker performing maintenance activities died when he was caught between a feed trailer and a loader.
FY 2012,7/7/2012,6/28/2012,"Big 4 Erectors LP, Conroe, TX 77384","Worker operating a crane to lift a concrete wall was killed when the crane collapsed, crushing the worker inside the cab."
FY 2012,7/7/2012,6/29/2012,"S&S Graham Archery Sales Inc., China Grove, NC 28023","Worker using acetone to perform taxidermy activities was killed when the pilot light from a water heater ignited the acetone vapors, causing a fire."
FY 2012,7/7/2012,6/29/2012,"Solomon Corporation, Solomon, KS 67480","Worker was crushed by a 9,000-pound electrical transformer."
FY 2012,7/7/2012,7/1/2012,"Thornton Drilling Company, Andrews, TX 79714",Worker power washing a water tank was electrocuted when the power cords arced.
FY 2012,7/7/2012,7/2/2012,"Black River Builders, Zeeland, MI 49464",Worker performing roof repairs died after falling nearly 25 feet through the roof.
FY 2012,7/7/2012,7/2/2012,"Chester Bross Construction Co. Inc., Bloomsdale, MO 63627",Worker was doing highway construction and was struck and killed by a dump truck.
FY 2012,7/7/2012,7/2/2012,"Elite Spice Inc., Jessup, MD 21849",Worker was crushed in the mast of a forklift.
FY 2012,7/7/2012,7/2/2012,"Tri-State Pole & Piping Inc., Lucedale, MS 39452",Teenage worker helping to stack a bundle of poles was killed when one pole struck his head.
FY 2012,7/7/2012,7/3/2012,"Express Tire Service Inc., Kalkaska, MI 49646","Worker was changing a tire on a piece of farm equipment when it exploded, striking and killing worker."
FY 2012,7/7/2012,7/4/2012,"Chief Orchards Packing and Storage, Wapato, WA 989510",Worker checking the pressure of jets on a sprayer tank was killed after being struck by the tank.
FY 2012,7/7/2012,7/4/2012,"Forrest Tire Company, Hobbs, NM 88240","Worker was changing a truck tire when it exploded, striking and killing worker."
FY 2012,7/7/2012,7/4/2012,"San Saba Pecan, Las Cruces, NM 88005",Worker using a scissor lift died from injuries suffered when the lift toppled over.
FY 2012,7/7/2012,7/5/2012,"Alameda County Fair, Pleasanton, CA 94566",Horse jockey died after being thrown from horse and trampled on.
FY 2012,7/7/2012,7/5/2012,"Platinum Energy Services, Chireno, TX 75937",Worker was killed when the cap of a pressure manifold struck his head.
FY 2012,7/7/2012,7/7/2012,"Consolidated Fruit LLC, Wapato, WA 98951",Worker operating a forklift was crushed when the vehicle went off the side of the road and tipped over.
FY 2012,7/14/2012,6/13/2012,"Scruggs Equipment Company, Memphis, TN 38113",Worker performing maintenance on a front end garbage truck loader was crushed between the driver's side lifting arm and the debris body of the truck.
FY 2012,7/14/2012,6/22/2012,"Green Mountain Tree Service, Detroit, MI 48223",Worker was crushed by a branch that was cut from a large oak tree.
FY 2012,7/14/2012,6/27/2012,"Plaska Transmission Line Construction LLC, Eunice, NM 88231","One worker died, another injured after suffering electrical burns when the boom truck they were inside touched a power line."
FY 2012,7/14/2012,7/1/2012,"R.G. Lumber Corp., Jackman, MA 04945",A worker moving a logging machine died when the machine struck him.
FY 2012,7/14/2012,7/2/2012,"Oakland Timberjax LLC, Oakland, MD 21550",Worker cutting down trees after storm damage died after falling more than 50 feet to the ground.
FY 2012,7/14/2012,7/2/2012,"R.G. Lumber Corp., Jackman, MA 04945",A worker moving a logging machine died when the machine struck him.
FY 2012,7/14/2012,7/2/2012,"W.W. Landscaping Inc., Pinetops, NC 27864",Worker cutting down a nearly 100-foot-high pine tree was struck and killed by another falling tree.
FY 2012,7/14/2012,7/3/2012,"Escoe Industrial, Jefferson, GA 30549","Worker was electrocuted after falling onto a 4,100-volt switch gear."
FY 2012,7/14/2012,7/3/2012,"Laning's Dairy Supply, Rosendale, WI 54974","Worker installing a cattle spraying apparatus was struck by a cattle gate carriage, pinning worker between the carriage and a post."
FY 2012,7/14/2012,7/5/2012,"Mail Contractors of America, Urbandale, IA 50322",Worker was run over and killed when he tried to stop a moving tractor.
FY 2012,7/14/2012,7/5/2012,"Spancrete, Oshkosh, WI 54901",Worker was struck and killed by a crane boom.
FY 2012,7/14/2012,7/6/2012,"Brookside Farms Inc., West Townsend, MA 01474","Worker loading a hay trailer was killed when the trailer rolled backwards, crushing him."
FY 2012,7/14/2012,7/6/2012,"Customs and Border Protection, Fort Hancock, TX 79839","Worker operating an all-terrain vehicle was crushed when the vehicle rolled down an embankment, landing on top of him."
FY 2012,7/14/2012,7/6/2012,"Findlay Roofing, Atlanta, GA 30316",Worker making roofing repairs was electrocuted after touching a power line.
FY 2012,7/14/2012,7/6/2012,"West Alabama Mechanical, Inc., Tuscaloosa, AL 35404",Worker operating a crane was struck by the machine's gear box and pump when crane tipped over.
FY 2012,7/14/2012,7/7/2012,"Jose Galtan, Machesney Park, IL 61115",Worker loading appliances onto a delivery truck collapsed and died. Cause of death unknown.
FY 2012,7/14/2012,7/8/2012,"Owens Coming, Newark, OH 43055",Worker for an insulation manufacturer was found dead from possible heat stress.
FY 2012,7/14/2012,7/9/2012,"Coastal Parasail, Inc., Panama City Beach, FL 32408",Worker collecting trash was run over by a trash truck.
FY 2012,7/14/2012,7/9/2012,"Consumers Cooperative Society, Kalona, IA 52247",Worker cleaning out a grain bin was found unresponsive on ground near bin.
FY 2012,7/14/2012,7/10/2012,"Knife River Corporation - Northwest, Canby, OR 97013",Worker placing roadway signs at an intersection was struck and killed by a vehicle.
FY 2012,7/14/2012,7/10/2012,"Pioneers International, Inc., Orlando, FL 32832",Worker operating a riding lawn mower was found in a canal pinned underneath the mower.
FY 2012,7/14/2012,7/10/2012,"State Farm, Oshkosh, WI 54904","Worker fell off an extension ladder, suffering fatal head trauma."
FY 2012,7/14/2012,7/11/2012,"Joyce Fisher Limited Partnership, Mentone, TX 79754",Worker loading a machine into the bucket of a backhoe died after being caught between the backhoe's bucket and the outrigger.
FY 2012,7/14/2012,7/11/2012,"L & C Exteriors, Overland, MO 63114",Worker pulling a roller on a flat roof died after falling through a skylight.
FY 2012,7/14/2012,7/11/2012,"Windsor Fuel Company, Pittsburg, CA 94565",Worker shifting traffic control cones was struck and killed by a vehicle.
FY 2012,7/14/2012,7/12/2012,"Hearthside Food Solutions LLC, McComb, OH 45858",Worker died after experiencing shortness of breath while packaging cookies on a production line.
FY 2012,7/14/2012,7/12/2012,"Thomas Logging LLC, Climax Twp, MI 49034",Worker was crushed by a tree while cutting timber.
FY 2012,7/14/2012,7/13/2012,"Dillard Smith Crossville, TN 38572",Worker replacing broken electric poles was electrocuted after touching a live power line.
FY 2012,7/14/2012,7/13/2012,"RM Walsdorf Inc., Brownsville, TX 78521","Worker performing maintenance work on a paving machine was crushed when the hydraulic line gave way, causing the machine to fall."
FY 2012,7/21/2012,4/26/2012,"Alside Supply Center, Cuyahoga Falls, OH 44223",Worker at a residential building supply company died from a possible heart attack.
FY 2012,7/21/2012,7/12/2012,"Welding Services Inc., Stamford, CT 06902",Worker was electrocuted while reinforcing steel.
FY 2012,7/21/2012,7/13/2012,"Baker Logging, Williamsburg, PA 16693",Worker cutting lumber was struck and killed by a falling tree.
FY 2012,7/21/2012,7/13/2012,"Dean Construction, Canton, MS 39288",Worker installing skylights died after falling 20 feet onto concrete floor.
FY 2012,7/21/2012,7/16/2012,"Aluminum Co. of America Bettendorf, IA 52722",Worker performing maintenance on a machine used to cut steel was struck and killed by an overhead carriage.
FY 2012,7/21/2012,7/16/2012,"Fino Electric, LLC, Newark, NJ 07105",Worker fell 35 feet from an aerial lift basket.
FY 2012,7/21/2012,7/16/2012,"MKE Producing, Bolivar, OH 44612",Two workers died when a gas well they were painting exploded.
FY 2012,7/21/2012,7/17/2012,"7-Eleven Albuquerque, NM 87106",Store worker died from a gun shot wound to the neck during a robbery.
FY 2012,7/21/2012,7/17/2012,"Bruce and Merrilees Electric Company, New Castle, PA 16101","Worker transporting a telephone pole died from head trauma when a vehicle hit the pole, causing the pole to strike the worker's head."
FY 2012,7/21/2012,7/17/2012,"Inland Systems Incorporated, Tomahawk, WI 54487",Worker cleaning an ash silo died from burns received by flying ash.
FY 2012,7/21/2012,7/18/2012,"Bonedty Enterprises Inc., St. Augustine, FL 32080",Worker on a tractor cutting grass was killed after being struck by a vehicle and thrown from the tractor.
FY 2012,7/21/2012,7/19/2012,"Living Waters Lutheran Church Fort Wayne, IN 46816",Worker was struck and killed by a motor vehicle.
FY 2012,7/21/2012,7/19/2012,"Rafael Esparza Germantown, TN 38139",Worker died after falling 13 feet from a roof while tossing materials to wheel a barrow.
FY 2012,7/21/2012,7/19/2012,"Tombigee Electric Power Association, Fulton, MS 38843",Worker cutting down trees was struck and killed by a falling tree.
FY 2012,7/21/2012,7/20/2012,"Coranado Wrecking and Salvage Santa Fe, NM 87503",Worker was struck and killed by a load of metal beams being stacked onto a trailer.
FY 2012,7/28/2012,7/3/2012,"Krause Building LLC, Lake Geneva, WI 53147",Worker installing a roof died after falling 25 feet to the ground.
FY 2012,7/28/2012,7/10/2012,"Leonard Chavarria, Pedricktown, NJ 08067",Worker was replacing roof shingles and fell from the seond story level.
FY 2012,7/28/2012,7/13/2012,"Williams Brothers Construction, Elm Mott, TX 76640",Worker performing construction activities died from possible heat stress.
FY 2012,7/28/2012,7/16/2012,"J.C. Hamm & Sons, Inc., Florence, AL 35630",Worker changing a filter in an attic died of a possible electrocution.
FY 2012,7/28/2012,7/16/2012,"JR Sheet Metal Manufacturing Inc., Caguas, PR 00646",Worker fell 7 feet from a ladder while working on an air conditioning system.
FY 2012,7/28/2012,7/21/2012,"Public Service of Colorado, Lyons, CO 80540",Worker performing work on a gas pipeline died from cardiac arrest.
FY 2012,7/28/2012,7/22/2012,"All American Asphalt, Torrance, CA 90502","Two workers were killed, one injured after they were struck by two vehicles while laying concrete on a highway."
FY 2012,7/28/2012,7/22/2012,"Dalton Trucking Inc., Fontana, CA 92335",Worker repairing bottom of dump sand truck was caught between the truck's pneumatic and hydraulic bottom gates.
FY 2012,7/28/2012,7/22/2012,"HIMR Inc., Plymouth, VT 05056",Worker died in water while working on a floating trampoline.
FY 2012,7/28/2012,7/23/2012,"Chemi Con Materials Corporation, Moses Lake, WA 98837",Worker removing a pump from a tank containing 180-degree boric acid died from burns when the acid spilled on him.
FY 2012,7/28/2012,7/23/2012,"Herman and Kittie Properties, Indianapolis, IN 46222",Worker was struck by Bobcat bucket while loading tree limbs into a dump truck.
FY 2012,7/28/2012,7/23/2012,"Janicki Logging and Construction Co. Inc., Darrington, WA 98272",Worker performing logging operations was crushed between a carriage and log.
FY 2012,7/28/2012,7/23/2012,"Locust Valley CSD, Locust Valley, NY 11560",A school bus driver was killed when a cement mixer collided head-on with the bus.
FY 2012,7/28/2012,7/23/2012,"Pacific Coast Contracting Inc., Medford, OR 97501",Worker was killed when the forestry van he was riding in was struck by a motor vehicle.
FY 2012,7/28/2012,7/23/2012,"Sierra Pacific Industries, Sonora, CA 95370",Worker at a lumber mill was crushed in a machine.
FY 2012,7/28/2012,7/23/2012,"Tayco Corp., Wallingford, CT 06492","Worker operating a truck on a dirt surface was crushed when the truck tipped over, pinning the worker underneath."
FY 2012,7/28/2012,7/23/2012,"Terra Nova Ranch, Helm, CA 93627",Farm worker died from head injuries when his ATV hit a tomato trailer.
FY 2012,7/28/2012,7/24/2012,"Bankston Creek Land Trust, Norris City, IL 62869",Four workers welding a swab tank were burned when an explosion occurred.
FY 2012,7/28/2012,7/25/2012,"Auburn Tree Services, Garrett, IN 46738",Worker operating a boom lift to pull a log from a lake died after he was ejected from the lift's basket when the piston on the lift failed.
FY 2012,7/28/2012,7/25/2012,"Elias Ovalle-Gonzalez, San Antonio, TX 78218",Worker died of an apparent fall from a scaffold.
FY 2012,7/28/2012,7/25/2012,"Next Specialty Resins, Addison, MI 49220",Worker at a plastics recycling plant died after falling into an industrial grinding machine.
FY 2012,7/28/2012,7/26/2012,"Cornerstone Plumbing, Waco, TX 76707",Worker inspecting natural gas lines underneath a house was electrocuted after contacting exposed electrical wires.
FY 2012,7/28/2012,7/26/2012,"Evonik Stockhausen LLC, Greensboro, NC 27406",Worker was pinned between a commercial carrier cab and a trailer.
FY 2012,7/28/2012,7/27/2012,"Carlton Forge Works,Paramount, CA 90723",Worker performing forging activities was struck and killed by debris.
FY 2012,7/28/2012,7/27/2012,"PG&E Subcontractors, Bridgeville, CA 90526",Worker fell approximately 80 feet from structure.
FY 2012,7/28/2012,7/27/2012,"Robinson Drilling of Texas Ltd., Big Lake, TX 76932",Worker performing oil rigging activities died when he fell from a ladder.
FY 2012,7/28/2012,7/27/2012,"Southern Investments LLC, Reidsville, NC 27320",Worker cutting wire off baled recyclable plastics was killed after being pulled into an auger.
FY 2012,7/28/2012,7/28/2012,"Esteban Casimiro, Arcadia, CA 91006",Worker trimming trees was electrocuted after touching a powerline.
FY 2012,7/28/2012,7/30/2012,"Illinois State University - Harris Physical Plant, Bloomington, IL 61709",University worker was found without a pulse after striking a telephone pole. Autopsy concluded worker died from natural causes.
FY 2012,8/1/2012,8/1/2012,"Valley Healthcare Center LLC, Fresno, CA 93727",Healthcare worker died after contracting tuberculosis.
FY 2012,8/4/2012,5/21/2012,"Mississippi Phosphate Corp., Pascagoula, MS 39581",Worker performing equipment maintenance at a phosphate fertilizer plant died during a steam explosion.
FY 2012,8/4/2012,7/3/2012,"Rutherford Tree Service, Fairfield, TX 75840",Worker was performing tree trimming operations and fell from a bucket.
FY 2012,8/4/2012,7/10/2012,"Tecta America, Arvada, CO 80004",Worker performing commercial roofing services died after falling from roof.
FY 2012,8/4/2012,7/11/2012,"Far East Construction Inc., Cambridge, MA 02139",Worker performing construction activities died after falling from a ladder.
FY 2012,8/4/2012,7/26/2012,"Beyers Welding Inc., Saint Cloud, FL 34772",Worker performing welding work was electrocuted.
FY 2012,8/4/2012,7/26/2012,"Colors Construction Inc., Boca Raton, FL 33487",Worker performing construction activities died when he was ejected nearly 30 feet from an aerial lift.
FY 2012,8/4/2012,7/27/2012,"ATW Automation Inc., Dayton, OH 45402",Worker operating a core pole assembly machine died after being caught in between two conveyors.
FY 2012,8/4/2012,7/29/2012,"U.S. Postal Service, Allen Park, MI 48101",Worker was found unconscious with a serious head injury.
FY 2012,8/4/2012,7/29/2012,"Wildlife Specialists LLC, Canton, PA 17724",Worker using metal poles to catch bats was electrocuted when the poles touched power lines.
FY 2012,8/4/2012,7/30/2012,"Bimbo Bakery, Galt, CA 95632",Worker was crushed by a rack of baked goods.
FY 2012,8/4/2012,7/30/2012,"Hillcrest Supply Inc., Montgomery, IN 47558",Worker at feed mill loading a feeding truck fell while standing on a 9-inch beam.
FY 2012,8/4/2012,7/30/2012,"Soudan Metals Company Inc., Chicago, IL 60609",Worker processing a coil of rolled steel was struck by the steel roll and pinned between the roll and processing line.
FY 2012,8/4/2012,7/31/2012,"Eastern Arrow Corporation Inc., Logan, WV 25601",Worker cutting down trees collapsed and died from a possible heat stroke.
FY 2012,8/4/2012,7/31/2012,"Iowa DNR - Lake Manawa State Park, Council Bluffs, IA 51501","Worker mowing lawn near canal drowned when mower fell into water, pinning worker underneath."
FY 2012,8/4/2012,7/31/2012,"Manny's Tree Service LLC, Bernville, PA 19506",Worker performing tree trimming operations was struck and killed by a tree limb.
FY 2012,8/4/2012,7/31/2012,"Mountain Barricade, Westcliffe, CO 81252",Worker doing flagging operations was struck and killed by a vehicle.
FY 2012,8/4/2012,7/31/2012,"Texas TST Inc., Sweetwater, TX 79556",Worker at a metals refinery plant collapsed and died from possible heat stress.
FY 2012,8/4/2012,8/1/2012,"Golden State Elevators Inc., Paramount, CA 90723",Worker performing repairs to an elevator fell 26 feet.
FY 2012,8/4/2012,8/1/2012,"Roc Equipment, Clark, NV 89015",Worker performing work on a drill rig died from exposure to hydraulic fluid after a cylinder cracked from extreme pressure.
FY 2012,8/4/2012,8/1/2012,"Spacesaver Corporation, Fort Akinson, WI 53538",Worker was crushed by falling sheet metal.
FY 2012,8/4/2012,8/2/2012,"Fox Transportation, Racho Dominiquez, CA 90220",Worker suffered fatal head injuries after he was runover by a transport truck.
FY 2012,8/4/2012,8/2/2012,"TCI LLC, Milwaukee, WI 53224",Worker was shot and killed by a disgruntled employee.
FY 2012,8/4/2012,8/3/2012,"Clovis Sign Service Inc., Clovis, NM 88101",Worker installing a billboard was electrocuted when metal from the sign touched a power line.
FY 2012,8/4/2012,8/3/2012,"NC Department of Transportation, Murphy, NC 28906",Two workers were struck-by and pinned against the back of a dump truck after being hit by a vehicle.
FY 2012,8/11/2012,2/15/2012,"Otwell Mercantile, Otwell, IN 47564",Worker died from asphyxiation while performing maintenance on a tractor inside a closed garage.
FY 2012,8/11/2012,5/24/2012,"Bird Ranch, Andrews, TX 79714",Worker checking windmills died after falling from structure.
FY 2012,8/11/2012,7/20/2012,"Affordable Mobile Home Movers, Channelview, TX 77530",Worker died from possible electrical shock.
FY 2012,8/11/2012,7/25/2012,"Circle Rubbish Removal Inc., 1033 Rt 1 South, Avenel, NJ 07001",Employee suffered fatal head and spine injuries after falling off of a dumpster.
FY 2012,8/11/2012,7/26/2012,"Quaker Oats, Danville, IL 61832",Worker suffered fatal injuries after falling approximately 50 feet from a manlift.
FY 2012,8/11/2012,7/31/2012,"Assured Realty, Orlando, FL 32805",Worker died after a tree fell on him while performing tree trimming and cutting activities.
FY 2012,8/11/2012,7/31/2012,"Bryan's Door Inc., Hialeah Gardens, FL 33016",Employee assisting forklift operator died after being crushed by the forklift load.
FY 2012,8/11/2012,7/31/2012,"Gamboa Construction, Hanover, MD 21240",Worker installing anchorage points on a roof died after falling to the concrete.
FY 2012,8/11/2012,8/1/2012,"J&M Contractors of South Florida Inc., Parkland, FL 33067",Roofing worker died after falling from a structure onto the ground.
FY 2012,8/11/2012,8/2/2012,"Ames Group LLC, Homestead, FL 33035",Worker collapsed and hit his head on a pipe. Worker suffered a possible heart attack.
FY 2012,8/11/2012,8/2/2012,"Best-Tec Asbestos Abatement Inc., West Palm Beach, FL 33401",Employee died after falling approximately 12 feet while removing ceiling tiles.
FY 2012,8/11/2012,8/2/2012,"D&B Builders Inc., Fort Walton Beach, FL 32577",Worker died after falling 15 feet out of a trash box being lifted by a forklift.
FY 2012,8/11/2012,8/3/2012,"Jersey Central Power & Light Company, Manalapan, NJ 07726",Employee was electrocuted while working on a downed wire.
FY 2012,8/11/2012,8/4/2012,"Conagra Foods Inc., Alton, IL 62002",Worker died after falling nearly 70 feet while attempting to exit a manlift onto a building's 5th floor.
FY 2012,8/11/2012,8/4/2012,"Tuckerman Home Group, New Albany, OH 43054",Worker died after falling approximately 20 ft from a roof.
FY 2012,8/11/2012,8/6/2012,"AAW Services, Seminole, TX 79360",Worker died after being pinned beneath an ATV he was operating.
FY 2012,8/11/2012,8/6/2012,"Big Sky Well Service Inc., Killdeer, ND 58640",Worker died after falling approximately 75 feet from a service rig.
FY 2012,8/11/2012,8/6/2012,"D.R. Exteriors LLC, West Milford, NJ 07480",Roofing worker died after falling approximately 30 feet from a residential roof.
FY 2012,8/11/2012,8/6/2012,"P.H. Glatfelter Paper, Chillicothe, OH 45601",Worker operating a bulldozer died when she was runover by the machine while trying to jump from it when it caught fire.
FY 2012,8/11/2012,8/6/2012,"Rowlett Tree Service, Henryville, IN 47126",Worker was crushed by a tree that was being cut down.
FY 2012,8/11/2012,8/7/2012,"ACH Foam Technologies, Fon Du Lac, WI 54937",Worker died from severe abdominal injuries after being crushed by a pneumatic door.
FY 2012,8/11/2012,8/7/2012,"Kraft Foods Inc., Granite City, IL 62040",Employee died after being crushed between a forklift and metal storage racking.
FY 2012,8/11/2012,8/8/2012,"Excel Inc., Palmetto, GA 30268",Worker died from head injuries after being thrown from his forklift.
FY 2012,8/11/2012,8/8/2012,"Ogden Avenue Materials Inc., Chicago, IL 60608",Worker died from injuries after falling from an elevated surface.
FY 2012,8/11/2012,8/9/2012,"Rocky Mountain Recycling, Las Vegas, NV 89030",Worker at a recycling facility was crushed under a forklift after it tipped over.
FY 2012,8/11/2012,8/10/2012,"Louisa Water and Sewer District, Louisa, KY 41230",Worker operating vehicle died when it rolled down an embankment.
FY 2012,8/18/2012,8/6/2012,"Sanders Painting & Decorating, Kenosha, WI","Worker performing outside painting activities died from a heart attack, possibly heat-related."
FY 2012,8/18/2012,8/9/2012,"AAA National USA Inc., Atlanta, GA 30303",Worker died after being struck by lightning while collecting his tools from a roof.
FY 2012,8/18/2012,8/10/2012,"D.J.S. Tractor and Trailer Service Inc., Conley, GA 30288",Worker was killed when he was pinned beneath the cab of a yard tractor he was repairing.
FY 2012,8/18/2012,8/11/2012,"BAE Systems, Thomasville, PA 17364",Worker driving a maintenance cart died from head trauma when the brakes failed causing him to hit a wall.
FY 2012,8/18/2012,8/11/2012,"E&R Roll Off Services LLC, Commerce City, CO 80022",Worker died after falling in between the rear tires of a semi-truck after the truck lunged forward.
FY 2012,8/18/2012,8/12/2012,"U.S. Forest Service, Clearwater, ID 83546",Worker died when a tree fell on her while she was building a fireline.
FY 2012,8/18/2012,8/14/2012,"Mason Construction Ltd., Beaumont, TX 77707",Worker laying pipe inside a trench was killed when another pipe fell on the worker.
FY 2012,8/18/2012,8/15/2012,"Union Pacific Railroad Company, Deer Grove, IL 61243",Worker was killed after an 18-wheeler delivering a machine struck the worker.
FY 2012,8/18/2012,8/16/2012,"Bacardi Bottling Corp., Jacksonville, FL 32218",Worker cleaning up broken glass at a bottling plant died after being crushed by a machine that molds materials into pellet shapes.
FY 2012,8/18/2012,8/16/2012,"Hammett Electric Inc., Wooster, AK 72181",Worker was electrocuted while installing wiring at a residence under construction.
FY 2012,8/18/2012,8/16/2012,"Osmic Inc., Titusville, PA 16354",Worker died after falling 30 feet while removing bolts from a crane rail.
FY 2012,8/18/2012,1/25/2012,"RH Construction Inc., Salt Lake City, UT 84108",Three workers were hospitalized after they were injured by a partially collapsed roof.
FY 2012,8/18/2012,8/14/2012,"Clean Harbors Catalyst Technologies LLC, Whiting, IN 46394",Three workers inside a vessel were hospitalized for burns when a flash fire occurred.
FY 2012,8/25/2012,7/12/2012,"Adonis Bronze, Alpine, UT 84004",Worker for a bronze foundry was killed when struck by a pressure vessel door.
FY 2012,8/25/2012,7/16/2012,"Dow Chemical Texas Inc., Deer Park, TX 77536",Worker opening a filter casing died from burns after being sprayed with 100 degree celsius hot condensate.
FY 2012,8/25/2012,8/1/2012,"A.H. Sturgill Roofing Inc., Miamisburg, OH 45342",Worker performing roofing activities suffered a heat stroke and later died.
FY 2012,8/25/2012,8/9/2012,"R&A Construction of Illinois Inc., Willowbrook, IL 60527",Worker died from chemical burns after a varnish applied to a floor caught fire.
FY 2012,8/25/2012,8/14/2012,"Best Blue Inc., Ellicott City, MD 21043","Worker putting up a pump jack scaffold was electrocuted after contacting a 7,600-volt phase line."
FY 2012,8/25/2012,8/15/2012,"GEM Drilling, Aspermont, TX 79502",Worker died after falling backwards while on the drillling floor of a rig.
FY 2012,8/25/2012,8/15/2012,"Steamboat Energy Consultants, Williston, ND 58801",Worker overseeing the operation of an oil rig was struck and killed by a truck.
FY 2012,8/25/2012,8/16/2012,"Andrews Transport LP., Houston, TX 77049",Worker died from severe head injuries after falling from a tractor trailer.
FY 2012,8/25/2012,8/16/2012,"Cargill Inc., Bloomington, IL 61702",Worker died after falling through a first floor hole onto the basement floor.
FY 2012,8/25/2012,8/19/2012,"Jordan General Contractors Inc., 17000 Premium Dr., Hockley, TX 77447",Two workers died from injuries sustained in a demolition dust fire
FY 2012,8/25/2012,8/20/2012,"Hephalstos Building Supplies Inc., Astoria, NY 11104",Worker loading his vehicle with building supplies was struck and killed by a bus.
FY 2012,8/25/2012,8/20/2012,"Sammy Coffeys Wholesale Nursery Inc., Lenoir, NC 28645",Worker was struck by a tree that was being cut down.
FY 2012,8/25/2012,8/20/2012,"Woodruff & Sons Inc., Tampa, FL 33601",Worker was killed after being struck by an excavator's bucket
FY 2012,8/25/2012,8/21/2012,"J.R. Wyles Inc., Lewisberry, PA 17339","Worker in a bucket truck was electrocuted after contacting a 7,200 volt electric line."
FY 2012,8/25/2012,8/21/2012,"Oakland County Road Commission, Beverly Hills, MI 48025",Worker operating a dump truck used for road resurfacing was killed when truck rolled into a ditch.
FY 2012,8/25/2012,8/21/2012,"White Brothers Logging, Cass Lake, MN 56633",Worker was struck and killed by tree pines that slipped out of boom truck.
