Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe
8/29/2013,"Double H Construction of Lake Okeechobee Inc., Punta Gorda, FL 33950",Construction worker died in a motor vehicle accident. ,Fatality
8/29/2013,"Grove U.S. LLC, Shady Grove, PA 17256",Worker died after being pinned between two mobile cranes.,Fatality
8/29/2013,"Sheehan Pipeline Construction, Steubenville, OH 43952",Worker died after falling from construction equipment.,Fatality
8/29/2013,"Track Utilities LLC, Medicine, Lodge, KS 67104",Worker electrocuted while reconstructing a power line. ,Fatality
8/29/2013,"United Forming, Houston, TX 77027",Worker died after falling 11 floors down an elevator shaft.,Fatality
8/29/2013,"William J. Morse Jr. LLC, Stephentown, NY 12168",Worker struck and killed by a falling tree during tree-cutting operations.,Fatality
8/28/2013,"A. Finkl & Sons Co., Chicago, IL 60619",Employee killed after being struck by material hanging from an overhead crane.,Fatality
8/28/2013,"Charter, Keshena, WI 54135",Worker suffered multiple bee stings and died after falling abd striking his head. ,Fatality
8/28/2013,"El Rodeo Restaurant LLC, Riverdale, MD 20737",Worker installing a banner died after falling from an extension ladder. ,Fatality
8/28/2013,"U.S. Department of Interior, Cherokee, NC 28719",Worker died after a riding lawn mower rolled onto him.,Fatality
8/28/2013,"Wightman Oil Company, Andover, NY 14806",Oil worker servicing a well died after being struck by falling equipment when the oil rig mast broke.,Fatality
8/27/2013,"McCoy's Building Supply, Lufkin, TX 75901",Employee loading sheetrock was killed after being pinned between a loaded forklift and a flatbed truck. ,Fatality
8/27/2013,"Sodexo Management Company, Garden City, KS 67846",Employee struck and killed by a car.,Fatality
8/26/2013,"Allen Development Group Inc., Columbus, GA 31909",Two workers were killed at an excavation site when the 15-foot deep trench they were working in collapsed. ,Fatality
8/26/2013,"Bluewater Yacht Sales LLC, Hampton, VA 23669",Employee drowned after falling from a floating dock while washing the hull of motor yacht.,Fatality
8/26/2013,"CB Construction Corp., Sarasota, FL 34242",Employee drowned while inspecting a seawall under construction.,Fatality
8/26/2013,"JBA Land Management, Plano TX 75025",Worker drowned in a golf course pond when a lawnmower flipped over onto him.,Fatality
8/26/2013,"Leal Trucking, Alliance, NE 69301",Worker crushed and killed by a truck while removing a pnuematic powered axle.,Fatality
8/26/2013,"MFA Inc., Aurora, MO 65605",Worker died after falling nearly 30 feet from a manlift.,Fatality
8/26/2013,"Panchos Fencing, Guthrie, TX 79236",Employee killed after being struck by a backhoe.,Fatality
8/24/2013,"CC Zamora Construction LLC, Fort Worth, TX 76129",Worker died when a chimney fell on him during demolition operations.,Fatality
8/24/2013,"Not Trucking LLC, Killdeer, ND 58640",Worker was killed after being run over by a truck and tanker trailer at a fracking oil well site.,Fatality
8/24/2013,"Rutledge Floor Covering, Torrance, CA 90505",Worker died from fall while installing floor covering.,Fatality
8/23/2013,"Centerpoint Energy, Katy, TX 77494",Worker killed when caught between the ground and bumper of the bucket truck he was repairing.  ,Fatality
8/23/2013,"Clarion Boards Inc., Shippenville, PA 16254",Worker fatally crushed between a roller conveyor and the conveyor system while working on a hydraulic pump.,Fatality
8/23/2013,"Deviney Construction Company, MS 39212",Worker electrocuted by power line.     ,Fatality
8/23/2013,"Erie Insurance Group, Hobart, WI 54115",Insurance employee was killed in a motor vehicle crash while traveling on business.,Fatality
8/23/2013,"Globe Energy Services, Henderson, TX 75652",Worker died in fall down staircase.,Fatality
8/22/2013,"Heartland Footwear Inc., Pocahontas, AR 72455",Worker killed when caught in a rotary injection molding machine.,Fatality
8/22/2013,"Ryman Lynn May, Simsboro, LA 71275",Truck driver was fatally crushed under the landing gear of a semi-trailer.,Fatality
8/22/2013,"Troy Construction LLC, Jackson, TX 77566",Employee working as a highway workzone flagger was struck and killed by motor vehicle.,Fatality
8/21/2013,"Koch Construction Company Inc., Kingsville, TX 78363",Construction worker died from heat stress.,Fatality
8/21/2013,"T-5 Construction Inc., Garrison, TX 75946",Worker electrocuted from overhead power line.,Fatality
8/20/2013,"Ahronian Landscaping & Design Inc., Holliston, MA 01746",Worker in aerial lift burned and electrocuted from overhead electrical line.,Fatality
8/20/2013,"Classic Irrigation & Landscape Inc., Missouri City, TX 77459",Landscape employee crushed and killed by tractor and truck.,Fatality
8/20/2013,"Nova Geotechnical and Inspection Services PLLC,                                        Las Vegas, NV  89118",Worker died after falling 20 feet through aluminum decking from second level of steel structure.,Fatality
8/20/2013,"Re Planet, Cucamonga, CA 91730",Worker was struck and killed by skid loader.,Fatality
8/19/2013,"Four Brothers Goat Farm, Millerton, NY 12546",Farm worker was killed after being run over by tractor.,Fatality
8/19/2013,"Lake Painting Inc., Midland, MI 48640",One worker was killed and two hospitalized in a fall from self-propelling work platform.,Fatality
8/19/2013,"Medallion Security Door & Window Company,                               Severn, MD 21144",Worker died when a 7-foot deep trench collapsed.,Fatality
8/19/2013,"Moark LLC, Turner, ME 04282",Worker shot and killed in a chicken barn. ,Fatality
8/19/2013,"Rick's Auto Body, Missoula, MT 59808",Employee died from burns from a vapor fire in a paint room.,Fatality
8/19/2013,"Southern Agri Systems Inc., Indianola, MS 38751",Forklift operator killed after being struck by a distracted driver.,Fatality
8/19/2013,"Terminix Service Inc., Lake City, SC  29560",Worker electrocuted while performing extermination work.,Fatality
8/19/2013,"Tutoring Club, Fountain Valley, CA 92708",Driver killed in vehicle accident.,Catastrophe
8/17/2013,"50 State Security Inc., Homestead, FL 33032",Secutiry worker fatally while patrolling.,Fatality
8/17/2013,"Custom Tower LLC, Louise, MS 39097",Worker installing satellite dishes to a communications tower died after falling 125 feet.,Fatality
8/17/2013,"Golden Touch Painting, North Salem, NY 10560",Painter died after falling from a 30-foot ladder. ,Fatality
8/17/2013,"Island Field Services LLC, Galveston, TX 77554",Worker died from chemical pneumonitis after being exposed to sulfuric acid and sulfur dioxide.,Fatality
8/17/2013,"North American Roofing LLC, Ashtabula, OH 44004",Worker installing sheet metal roof materials died after falling 20 feet through a skylight.,Fatality
8/16/2013,"Universal Pegasus Power Services Inc., ENCINO  TX 78353",Worker died from heat stroke during surveying operations.,Fatality
8/16/2013,"US Forest Service, Albuquerque, NM 87109",Worker died from a spider bite.,Fatality
8/15/2013,"FMS Drilling, Lafayette, OH 43845",Oil rig worker died after falling 60 feet.,Fatality
