Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe
4/12/2013,"Affordable Waste, Houston, TX 77045",Employee died after being struck and pinned in between a container and skid steer. ,Fatality
4/12/2013,"Coca Cola North America, Anaheim, CA 92806",Worker died after being crushed between palletizer and another object. ,Fatality
4/12/2013,"Double Z Construction,  Hebron, OH 43025",Worker making bridge repairs was killed after being struck by a falling beam.,Fatality
4/11/2013,"Exterran Energy Solutions, Wick, WV 26149","Employee died from burn injuries after a flash fire occurred while working at a pipeline cleanout ""pigging"" operation.",Fatality
4/11/2013,"Lanzo Lining Services Inc, Tampa, FL 33605",Employee died from possible hydrogen sulfide exposure while cleaning sewage from pipe.,Fatality
4/11/2013,"Matchmakers Employment Service, Friona,  TX 79035",Temporary worker died after falling 45 feet from platform while performing maintenance on grain conveyor.  ,Fatality
4/11/2013,"Rose Hill Nursery, Berlin Twp, MI  48022",Worker crushed and killed when bucket overturned and fell on him while he performed tree maintenance.,Fatality
4/11/2013,"Union Electric, Saint Ann, MO 63074","Worker electrocuted while conducting storm-restoration work on a 7,200-volt line. ",Fatality
4/11/2013,"Utah Department of Transportation, Salt Lake City, UT  84121","Worker was checking for possible avalanche when one occurred, sweeping away worker.  ",Fatality
4/11/2013,"Utility Technologies International Corporation, Wick, WV 26149",Employee died from burns after a flash fire occurred while working on a pipeline cleanout operation.,Fatality
4/10/2013,"American Framing Inc., Santa Rosa Beach, FL 32459",Employee died after being struck by a front end loader on a construction site.,Fatality
4/10/2013,"Cathay Pacific Airways Ltd., Jamaica,  NY 11430",Employee struck and killed by cargo transporter during loading operations at airport.,Fatality
4/10/2013,"DC Cash and Carry,  Washington,  DC 20002",Employee died after falling 10 feet from a powered industrial truck while accessing a rack storage system.,Fatality
4/10/2013,"Masonry Medic LLC,  Cynthiana, KY 41031","Two workers electrocuted when the boom truck basket they were inside contacted a 7,200-volt power line while they performed chimney repair work.",Fatality
4/10/2013,"Pacific States Industries dba Redwood Empire Sawmill, Cloverdale, CA 95425",Worker died after becoming stuck in a debarker while trying to unjam the machine.,Fatality
4/10/2013,"Residential Creations LLC, Bridgeport, WV 26330",Employee died after falling 20 feet to the ground while making repairs to residential structure. ,Fatality
4/10/2013,"Spillzz LLC,  Jacksonville,  FL 32254",Worker died after a garage collapsed on him while he was removing wood planks.,Fatality
4/10/2013,"Utah Truck and Trailer Repair, LLC, Salt Lake City, UT 84119",Worker died when truck he was servicing slipped into gear and ran over him.,Fatality
4/9/2013,"Waste Landfill Recycling Services, Guanica, PR 00653",Worker struck and killed by garbage container that came loose during unloading process.,Fatality
4/8/2013,"A Street Logging, Fenwick,  WV 26202",Worker struck and killed by falling tree.,Fatality
4/8/2013,"Department of Public Works,  Indianapolis, IN 46204

",Worker died after being pinned between tree and sanitation truck and then run over by truck.,Fatality
4/8/2013,"Excel Utility Construction Inc., Mineola, TX 75773","Employee killed when a boring machine tipped over, crushing him.  ",Fatality
4/8/2013,"R. R. Donnelley and Sons Company, Lancaster,  PA 17601",Employee killed after being crushed by the rear axle of forklift. ,Fatality
4/8/2013,"S C SAPP Inc., Leopold, IN 47630",Employee died after falling from courier/delivery vehicle.,Fatality
4/7/2013,"AK Steel Corporation, Middletown, OH 45043",Worker died from burns after an explosion at a steel mill.,Fatality
4/6/2013,"Hernandez Lanscaping, San Clemente, CA 92673",Worker died from head injuries after falling six feet while trimming trees.,Fatality
4/5/2013,"Basic Energy Services, Barstow, TX 79719",Two workers died from injuries from a blown high-pressured oil well.,Fatality
4/5/2013,"Pacific Excavation, Coto de Caza, CA 92679                                           ",Worker died when a side wall collapsed on him while performing sewer/storm drain cleanup.,Fatality
4/5/2013,"R. King Window Corp., Brooklyn, NY 11222",Worker died from fall while cleaning building windows.,Fatality
4/5/2013,"Upstage Center Inc,  San Antonio, TX 78219",Worker died from a 100-foot fall while dismantling iron cross beams in a concert stage setup. ,Fatality
4/5/2013,"Wilkinson Roy Iron & Metal Inc., McAllen, TX 78501",Employee struck and killed by the front axle of a tandem axle trailer.,Fatality
4/4/2013,"Balyasny Asset Management LP, Mequon, WI 53097",Worker died after falling from second floor to lower level of residential home while disassembling a scaffold.,Fatality
4/4/2013,"Dring Air Conditioning and Heating, Fort Worth, TX 76107",Employee died after falling 20 feet from a ladder.,Fatality
4/4/2013,"Fort Worth Grain Exchange, Frederick,  OK 73542",Employee electrocuted when a probe used to take grain samples contacted an overhead power distribution line.,Fatality
4/4/2013,"Vesuvius USA Corporation, Chicago Heights, IL 60411",Employee died after making contact with moving auger blades while cleaning a refractory mixer.,Fatality
4/3/2013,"BAE Systems Southeast Shipyard, Mobile,  AL 36652","Employee has not been found and is presumed dead after cruise ship he was painting broke loose during heavy weather causing vessel to strike pier, throwing him into water.",Fatality
4/3/2013,"New England Motor Freight Inc., Batavia, OH 45103",Employee died after being crushed between truck bed edge and a load of construction materials.,Fatality
4/3/2013,"Paladin Attachments, Ooltewah, TN 37363",Worker died when steel sheeting fell from a crane and crushed him.,Fatality
4/3/2013,"Samuelson Funeral Services In., Mankato, MN 56001",Worker died after falling down steps while transporting materials.,Fatality
4/3/2013,"Ward Trucking LLC, Grove City, PA 16127",Worker died after being caught between a semi truck and loading dock.,Fatality
4/2/2013,"3rd and Ash LLC, Dallas, TX 75226",Employee died after falling 25 feet through roof skylight.,Fatality
4/2/2013,"Carol Tires, Henderson, TX 75652",Employee killed after being struck by vehicle when he stepped out of his truck on the side of the highway. ,Fatality
4/2/2013,"Left Coast Cellars LLC, Rickreall, OR 97371",Worker died from head injuries after falling from a tractor.,Fatality
4/2/2013,"Worknet Staffing, Leesville, LA 71446","Employee died while riding as a passenger in a delivery vehicle that collided with an 18-wheel truck.

",Fatality
4/1/2013,"Emerald Construction Corp., Sunny Isles Beach,  FL 33160","Employee died after falling 30 feet to the ground while securing 2x4s to a wall.
",Fatality
4/1/2013,"Hedge & Herberg Inc.,  Ortonville, MN 56278",Worker died from burns after the semi-trailer he was working on caught fire.  ,Fatality
4/1/2013,"Jerry's Rentals & Specialties Co. Inc., Lopez Well #11 Encino  TX 78353",Worker died from pressure of a blow out that occurred during an oil field stump test.,Fatality
3/31/2013,"Precision Surveillance Corporation, Russellville,  AR 72802",Employee killed after being struck by a collapsing crane.,Fatality
3/30/2013,"M&C Motorcycles,  Long Beach, CA 90802",Worker died after being struck by vehicle while testing repaired motorcycle.,Fatality
3/28/2013,"IL State Police - District #15, Northbrook, IL 60062",Worker died after being struck by semi-truck while assisting a motorist.  ,Fatality
3/28/2013,"Kimble Mixer Company, Philadelphia, OH 44663",Employee died after a presumed fall.,Fatality
3/28/2013,"NJ Division of Parks and Forestry, Clinton, NJ 08809",Worker died after being struck by vehicle while performing controlled forestry burns in the park. ÿ ,Fatality
3/28/2013,"Spectrum Contracting Inc., St. Petersburg, FL 33710",Employee died after falling 30 feet off a scissors lift on which he was working.,Fatality
3/27/2013,"Arbor Care Inc., Houston, TX 77008",Employee died after falling nearly 50 feet from a bucket while performing tree trimming operations.,Fatality
3/27/2013,"Barralaga's Roofing & Siding, Ocean City, NJ 08226",Employee died after falling from a residential roof to the ground below.,Fatality
3/27/2013,"Becco Contractors Inc., Tulsa, OK 74145",Employee died after being struck by vehicle.,Fatality
3/27/2013,"Comfort-Air Engineering Inc., San Antonio, TX 782181",Employee died after falling through a skylight while installing HVAC piping.,Fatality
3/27/2013,"Craft Machine Works, Inc.,  Hampton, VA 23661",Worker died when caught between a vertical door counterweight and support structure.,Fatality
3/26/2013,"Ardagh Glass Inc., Henryetta, OK 74437",Employee died from injuries after being crushed by a forklift.,Fatality
3/26/2013,"BBG Services, Corpus Christi, TX 78414",Employee died when trench collapsed and crushed him.,Fatality
3/26/2013,"Duplo USA Corporation, Henderson, NV 89002",Worker died after vehicle collided with another on interstate highway.,Fatality
3/25/2013,"Juan Betancourt-Duran, Katy, TX 77494",Employee died after being struck by falling wall.,Fatality
3/24/2013,"Newark Brothers Inc., Newark, NJ 07103",Employee shot and killed during altercation between restaurant patrons.,Fatality
3/23/2013,"Magnussen Brothers Inc., Fostoria, IA 51340",Worker crushed and killed after bales of corn stalk fell on him.,Fatality
3/22/2013,"Construction Engineering Consultants (CEC, Inc.), Newport News, VA 23606  ",Worker died from a fall while installing gutters and replacing window trim.,Fatality
3/22/2013,"S. McClain Stone Company, Vestal, NY 13850",Employee struck and killed by forklift.,Fatality
3/21/2013,"Indianapolis Funeral Escort Services, Indianapolis, IN 46227",Worker leading a funeral procession on motorcycle died from injuries when the motorcycle hit the center median and slid 60 feet. ,Fatality
3/21/2013,"Mollertech LLC, Shelby Twp, MI 48315",Employee died after being struck by a mold that hooks to crane.  ,Fatality
3/20/2013,"Burnham Industrial Contractors Inc., Haywood, WV 26366",Worker died after falling from collapsed roof onto a filter device.,Fatality
3/20/2013,"Woodworks Construction, Franklin, MI 48025",Worker died from 35-foot fall after wind gusts pushed him and a window he was installing off forklift platform.,Fatality
3/19/2013,"Freeman LP Corp, Long Beach, CA 93584",Worker died from injuries after falling 11 feet from scaffold.,Fatality
3/18/2013,"Astro Aluminum Treating Company, South Gate, CA 90280",Worker crushed and killed after a stack of cylinder racks fell on him.,Fatality
3/18/2013,"Boeing, North Charleston, SC 29418",Worker died after falling 30 feet from a mobile scaffold.  ,Fatality
3/18/2013,"JRJ Trucking  LLC, Thomasville, NC  27360
",Worker crushed and killed after the tractor trailer he was repairing fell on him.,Fatality
3/18/2013,"Parker Integrated Sealing Systems, Ligonier, IN 46767",Worker electrocuted while repairing light fixture.,Fatality
3/18/2013,"Patriot Drilling LLC, Orla, TX 79770",Employee struck and killed by pipe at drilling rig site.,Fatality
3/18/2013,"The Clubs at Colonial Ridge, Harrisburg, PA 17112",Employee struck and killed by tree he was cutting down.,Fatality
3/17/2013,"Frontier Drilling LLC, Wellington, UT 84542                                  ",Worker died after being struck by a chain and hook from an extended forklift.,Fatality
3/17/2013,"Reedy Creek Energy Services Inc., Lake Buena Vista, FL 32830",Employee died after falling from scaffold.,Fatality
3/17/2013,"White Pigeon Paper Co., White Pigeon, MI 49099",Worker died after falling into a pulper while welding equipment.,Fatality
3/16/2013,"Thornton's Gas Station, Streamwood, IL 60107",Employee killed after robbery at gas station.,Fatality
3/15/2013,"Thompson Metal Fab Inc., Vancouver, WA 98668",Worker crushed and killed when steel wing wall collapsed.,Fatality
3/14/2013,"Los Angeles Engineering Inc., Los Angeles, CA 90272",Worker killed when trench collapsed.,Fatality
3/14/2013,"Schneider Milling Inc., Waverly, IA 50677",Two workers died from possible carbon monoxide exposure after entering a grain bin to unclog an auger.,Fatality
3/13/2013,"NLMK Indiana Portage, IN 46368",Workers were diagnosing Joslyn switch that was supposedly locked-out.  Circuit completed and voltage went through meter resulting in an arc flash. Three workers were hospitalized with burns.,Catastrophe
3/13/2013,"Prime Wheel Corp., Harbor City, CA 90248",Worker killed after being caught between hoist and plating tank. ,Fatality
3/13/2013,"River Parish Maintenance Inc., Norco, LA 70079",Worker died after being crushed by cylinders that rolled off fork-truck.,Fatality
3/13/2013,"TIC dba The Industrial Company, Bakersfield, CA 93308",Worker died from injuries when forklift overturned and rolled down hill.  ,Fatality
3/12/2013,"Upper Valley Disposable Services Inc., St. Helena, CA 94574",Worker was struck by company truck and dragged approximately 200-300 feet.  Worker was pronounced dead at scene.,Fatality
3/11/2013,"Harris Camden Realty Inc., Camden, NJ 08104",Employee died after falling through roof opening onto steel landing. ,Fatality
3/11/2013,"Rieke Grading, Shawnee Mission, KS 66227",Worker died when the pump truck he was welding exploded.,Fatality
3/8/2013,"J Flores Roofing Inc., Oak Ridge, NC 27310",Worker died from fatal fall while repairing roof at residential house.,Fatality
3/8/2013,"Mcm Carpentry LLC,           Woodbridge, Virginia 22193",Worker struck and killed by steel I-beams while working in unfinished basement.,Fatality
3/7/2013,"Apple Valley Waste Services, Gerrardstown, WV 25420",Worker struck and killed by vehicle while collecting trash.,Fatality
3/7/2013,"Apple Valley Waste Services, Gerrardstown, WV 25420",Worker struck and killed by vehicle while collecting trash.,Fatality
3/7/2013,"Martinrea Hopkinsville LLC, Hopkinsville, KY 42240",Worker killed after being pinned under machine at automotive plant.,Fatality
3/6/2013,"C&J Energy Services Inc., Moulton, TX 77975",Worker died when fork-truck fell on him after going over ramp.,Fatality
3/6/2013,"Davis Tool & Die, Fenton, MO 63026",Worker electrocuted while working on industrial furnace.,Fatality
3/6/2013,"Hudson Community FPD - Main Station Hudson, IL 61748",Five workers hospitalized after being struck by a trailer carrying automobiles.,Catastrophe
3/6/2013,"Hudson Community FPD - Main Station, Hudson, IL 61748",Worker killed after being struck by a trailer carrying automobiles.,Fatality
3/6/2013,"Purina Animal Nutrition, Evansville, IN 47711",Worker suffocated after becoming trapped in man lift.,Fatality
3/6/2013,"Schlitterbahn Beach Resort Management LLC, South Padre Island, TX 78597",Worker killed after being caught between the gate of a wave pool he was repairing.,Fatality
3/4/2013,"Gin-Spen Inc., Andrews, TX 79714",Worker died from head injuries after falling from back of pickup truck.,Fatality
3/2/2013,"Bradsher Boys, Inc., Raleigh, NC  27615                    ",Worker killed after becoming entangled in a mulch auger.,Fatality
3/1/2013,"CR&R, Inc., Stanton, CA  90680",Worker struck and killed by a projectile while welding.,Fatality
3/1/2013,"GB Auctions, Inc., Spokane, WA 99219",Worker died of CO poisoning emitted after gas-powered generator used inside trailer failed.,Fatality
2/28/2013,"Charles Blalock and Sons Inc.,  White Pine, TN 37890",Worker struck and killed by tractor trailer at construction site.,Fatality
2/28/2013,"Southwest Transportation  LLC, 
Loving, NM  88256
",Worker struck and killed by a hatch lid that blew off tank while he loaded well-water into disposal well.,Fatality
2/27/2013,"Asplundh Tree Expert Co., Charlotte, NC  28217",Worker struck and killed by falling tree.,Fatality
2/26/2013,"Gardner Brothers Drilling Inc., Beaver, UT 84725",Worker struck and killed by pipe that came loose during drilling.,Fatality
2/26/2013,"Gilles & Audrey FleuryTrust, Anaheim, CA 92802",Worker died after falling 14 feet to concrete on construction site.,Fatality
2/26/2013,"Penhall Co, Brigham City, UT 84302",Worker crushed and killed when a section of building's roof collapsed during demolition operations.,Fatality
2/25/2013,"CSC Sugar LLC, Fairless Hills, PA 19030",Employee killed after falling into a sugar hopper.,Fatality
2/25/2013,"J.G. Boswell Company, Bakersfield, CA 93311",Worker drowned after accident caused vechicle to land in canal.,Fatality
2/25/2013,"Pete Gould & Sons Inc., Ellenboro, WV 26346",Employee struck and killed by falling tree.,Fatality
2/25/2013,"Sidewinder Drilling, Carrollton, OH 44615",Worker killed when struck by drilling equipment.,Fatality
2/24/2013,"Turner Specialty Services LLC, Darrow, LA 70725",Employee crushed and killed by conveyor belt rollers undergoing maintenance.,Fatality
2/23/2013,"RSI Home Products Manufacturing, Inc., Lincolnton, NC  28092",Worker killed after being caught in saw machine at cabinetry facility.,Fatality
2/22/2013,"Hagel Metal Fabrication Inc., East Peoria, IL",Worker operating laser machine struck and killed by metal debris.,Fatality
2/22/2013,"Saddai Inc., Perth Amboy, NJ 08861",Employee was struck and killed by vehicle while making a delivery.,Fatality
2/21/2013,"Best Logging, Rock Castle, WV 25245",Employee killed by a falling tree during tree felling operations.,Fatality
2/21/2013,"Desert Cab, Inc., Las Vegas, NV 89109","Taxi driver was killed after being struck from behind by another vehicle, causing the car to catch fire.",Fatality
2/21/2013,"Donald L. Shirey Lumber Company Inc, Rimersburg, PA 16248",Worker struck and killed by falling tree.,Fatality
2/21/2013,"Guichard Operation Company LLC, Rayne, LA 70578",Employee died after falling from a building.,Fatality
2/20/2013,"Cactus Wellhead, Bossier City, LA 71111",Employee killed by falling  equipment during unloading operations.,Fatality
2/20/2013,"Slone Builders, Inc., White Lake, MI 48386",Worker was killed when nail from a nail gun struck him in the eye.,Fatality
2/20/2013,"Tex-Lee Operating Company, Giddings, TX 78942",Oil rig worker killed when a counter-weight fell 65 feet on him during a rig shutdown.,Fatality
2/19/2013,"Day Zimmer NPS, Perry, OH 44081",Employee died from head injuries after falling off scaffolding.,Fatality
2/19/2013,"JJ's Restaurant, Kansas City, MO 64112",Employee killed in a natural gas explosion.,Fatality
2/18/2013,"Cat Spec Ltd., Ardmore, OK 73402",Employee died while working in a confined space at a crude oil refinery.,Fatality
2/18/2013,"Summit Roofing, LLC, Howell, MI 48855",Worker died after falling 25 feet from roof while installing insulation.,Fatality
2/17/2013,"Hydro-Marine Construction Inc., South Amboy, NJ 08879",Employee crushed and killed by excavator bucket.,Fatality
2/16/2013,"G&H Steel, New Orleans, LA 70119",Employee died after falling 18 feet from a roof support beam.,Fatality
2/15/2013,"Central Environmental Services, Flemington, WV 26181",Employee died after an explosion occurred while he was checking levels on a 400 barrel brine water holding tank.,Fatality
2/15/2013,"Coba Landscaping & Construction, Belleville, NJ 07109",Employee struck and killed by falling tree limb while trimming trees.,Fatality
2/15/2013,"ERG Aerospace Corporation, Oakland, CA  94608",Worker was struck in head and killed by piece of metal while operating lathe. ,Fatality
2/14/2013,"Wade C. Bowler, Aylett, VA 23009",Worker struck and killed by an excavator arm while trimming trees.,Fatality
2/13/2013,"Life Time Brands, Garden City, NY 11530",Employee died after falling in a parking lot.,Fatality
2/13/2013,"Professional Service Industries Inc., Belle Glade, FL 33430",Employee died after being thrown from and run over by bulldozer.,Fatality
2/13/2013,"SCC Cabinets Inc., Wellington, FL 33414",Worker died after falling 30 feet while unloading tools from forklift.,Fatality
2/11/2013,"Burns Paving Company Inc., Oklahoma City, OK 73105",Employee died after being struck by a vehicle moving in reverse on the worksite.,Fatality
2/11/2013,"HSA Consulting Group Inc., Pensacola, FL 32503",Employee struck and killed by vehicle while conducting a traffic study.,Fatality
2/9/2013,"Air Liquide USA, La Porte, TX 77572",Employee died in a facility explosion.,Fatality
2/9/2013,"Ironrock Resources Inc. Pampa, TX 79065",Employee died when he fell while cutting away a conveyor that was attached to a building.,Fatality
2/8/2013,"YJF Company dba New Star Design, Honolulu, HI 96813",Worker died from injuries sustained after falling off a two-stage scaffold.,Fatality
2/7/2013,"Riverside Police Department, Riverside, CA 92522",A patrol officer was killed in the line of duty after being ambushed by gunfire.,Fatality
2/6/2013,"Bodine Services of Decature Inc., Decature, IL 62526",Employee died after being crushed between dislodged material he was cleaning and an I-beam.,Fatality
2/6/2013,"General Iron Industries Inc., Chicago, IL 60616",Welder died from injuries sustained when a steel wall fell on him.,Fatality
2/6/2013,"Mac Corporation, Indianapolis, IN 46219",Worker was crushed to death when the trash compactor he was repairing was energized.,Fatality
2/6/2013,"Mass Transportation Authority, Mt Morris, MI 48458",Worker died after being struck by the rear tires of a rolling bus.,Fatality
2/6/2013,"Quality Drywall, Inc., Lewisville, NC  27023",Worker installing sheetrock was killed after falling from ladder.,Fatality
2/5/2013,"BWP Hardwoods, Brookville, PA 15825",Employee died after being pinned between his machinery.,Fatality
2/5/2013,"Sweyolakan Farms, Ithaca, NY 14850",Dairy farm worker crushed and killed by auger.,Fatality
2/5/2013,"Thiems Construction Company Inc., Maryville, IL 62062",Employee was electrocuted when a downed electrical powerline came into contact with the concrete truck he was operating.,Fatality
2/4/2013,"Midwest Construction Co Inc., Burlington, KS 66839",Employee died when the crane he was operating tipped over and crushed him.,Fatality
2/1/2013,"Buffalo Sweeping Compound Inc., Buffalo, NY 14210",Employee died after being crushed by the payload arm of a powered industrial truck.,Fatality
2/1/2013,"LT Disposal Inc., Leicester, NY 14481",Employee died after being caught between two trucks.,Fatality
2/1/2013,"NYCPD - Bkyn North Narcotics, Brooklyn, NY 11207","Worker died from heart attack, determined to be work-related, during a narcotics operation.  ",Fatality
1/31/2013,"Heller Casing Service Inc., Watford City, ND 58854",Employee died after being crushed by the equipment he was operating.,Fatality
1/31/2013,"Southern Minnesota Beets Cooperative Renville, MN 56284",Worker was fatally struck by a pay loader while walking from one building to another.,Fatality
1/29/2013,"Container Solutions Inc., Mantachie, MS 38855",Employee died after being crushed between a semi-trailer and a loading dock.,Fatality
1/29/2013,"Farmers Cooperative Company, Talmage, NE 68448",Employee died after being struck by a grain truck.,Fatality
1/28/2013,"TK Holdings Inc., San Antonio, TX 78251",Employee died after being crushed inside a die press.,Fatality
1/27/2013,"Square K Lumber LLC., Smoot, WV 24977",Employee died after being crushed between the frame and the bed of a dump truck.,Fatality
1/26/2013,"SCR Construction Inc., Richmond, TX 77469",Employee died when an empty chemical drum he was cutting exploded and struck his head.,Fatality
1/25/2013,"Oscar Adelar, Mission Viejo, CA 92691",Worker died after being hit by several cars while handing out flyers.,Fatality
1/25/2013,"Quality Services LLC, Memphis, TN 38106",Worker died after being struck by a tractor trailer truck while changing a tire.,Fatality
1/25/2013,"Shores Construction Inc., Horseshoe Beach, FL 32648",Employee died after falling 135 feet from a water tower.,Fatality
1/24/2013,"Abacus Building Innovations Inc., Astoria, NY 11103",Employee died after falling 15 feet onto a metal floor joist and concrete foundation.,Fatality
1/24/2013,"Grosse Ile Township, Grosse Ile, MI 48138",Worker died after becoming trapped in a trench during excavation operations.,Fatality
1/24/2013,"H.B. Gills Inc., Cutler, CA 93615",Worker died after being crushed between a tractor tire and the ground after falling from the vehicle.,Fatality
1/24/2013,"Miracle Method of Portland LLC, Portland, OR 97220",Worker succumbed to injuries sustained from a chemical exposure while resurfacing a bathtub in a small bathroom with little air ventilation.,Fatality
1/24/2013,"Moss Transportation Services, Belle Glade, FL 33430",Employee died after being crushed between a semi-truck and a loading dock.,Fatality
1/23/2013,"C.J. Mabardy Inc., Cambridge, MA 02138",Employee died from injuries sustained from being crushed by the bulldozer he was working on.,Fatality
1/23/2013,"John Miller Construction, Coldwater, MI 49036",Worker died after falling off a roof.,Fatality
1/22/2013,"Eaton Corporation, Pittsburgh, PA 15213",Employee electrocuted while performing upgrades to a campus electrical distribution switchgear.,Fatality
1/22/2013,"Resolute FP US Inc., Catawba, SC 29704",One worker died and two others were hospitalized after cleaning a seven-story high tank. After seeing a brown liquid and vapor flowing into tank two of the workers were able to climb out  but the third was trapped 14 feet down in the tank and died from chemical exposure.,Fatality
1/22/2013,"Stanco Metal Products Inc., Williamston, SC 29697",Worker died after being caught in a stamping machine.,Fatality
1/21/2013,"Bliss Envirnmental Services Inc., Utica, NY 13502",Employee died after being struck by a garbage truck.,Fatality
1/21/2013,"Gao's Construction Corp., Port Jefferson, NY 11777",Employee died from injuries sustained after falling from a ladder and being struck by falling metal awning.,Fatality
1/21/2013,"LPC & D Inc., Rio Grande, PR 00745",One worker was killed and two were hospitalized when a crane overturned and the basket fell 40 feet during maintenance operations on a highway bridge.,Fatality
1/21/2013,"Owego Vill Fire Department, Newark Valley, NY  13811",Worker died after falling through floor and into basement during fire fighting operations. ,Fatality
1/20/2013,"Rea Magnet Wire, Fort Wayne, IN 46803",Worker succumbed to injuries sustained after falling from a seven-foot platform.,Fatality
1/19/2013,"Haliburton Inc., Watford City, ND 58854",Worker was killed after being struck by a steel valve under 4100 psi of pressure during fracking operations.,Fatality
1/18/2013,"Quality Plus Gas Station, Sylva, NC 28779",Gas station worker died from brain damage sustained after being overcome by gas fumes.,Fatality
1/18/2013,"Reynolda House Inc., Winston-Salem, NC 27106",Worker for an art museum died from sepsis after an object penetrated his foot.,Fatality
1/17/2013,"County of Orangeburg Sawyerdale Collection, Orangeburg, SC 29112",Worker fell to his death after being hit by a compactor door.,Fatality
1/17/2013,"Hatchett Roustabout Inc., Lamesa, TX 79331",Worker died from exposure to hydrogen sulfide after stepping into 5-foot-deep hole containing oil slush.,Fatality
1/17/2013,"Newt Davis LLC, Sardis, MS 38666",Employee died from injuries sustained from severe burns after coming in contact with a wood burning heater.,Fatality
1/17/2013,"Turner Bean & Grain Inc., Turner, MI 48765",Worker died while removing railroad timber when the tractor he was using rolled on top of him.,Fatality
1/16/2013,"Gustafson Chipping Company Inc., Orlando, FL 32808",Employee died after tripping and falling onto a marble mold.,Fatality
1/16/2013,"Reliance Steel & Aluminum Co., Atlanta, GA 30318",Employee died after falling from the back of a tractor trailer being unloaded.,Fatality
1/16/2013,"Witt Plumbing Inc., Hastings, NE 68901",Worker died after being engulfed in a collapsing trench.,Fatality
1/15/2013,"Flowers Baking Company, Bardstown, KY 40004",Worker died from injuries sustained after being pinned between a trove and an elevator bar.,Fatality
1/14/2013,"Kaba Ilco Corporation, Forsyth, NC 27009","Worker crushed and killed when a cart carrying 2,000 pounds of zinc tipped over on top of him.",Fatality
1/14/2013,"Omni Energy and Seismic Services LLC, Fairview, WV 26570",Worker died after being ejected from a track buggy that fell down a hill.,Fatality
1/12/2013,"Jim Corridon Electric Inc., Vienna, Virginia 22182",Worker succumbed to injuries after falling off of a 12-foot step ladder while installing an un-energized electrical cable.,Fatality
1/11/2013,"C & L Lockers, Connell, WA 99326",Worker operating an off-road vehicle died after being struck from behind by another vehicle.,Fatality
1/11/2013,"C&L Lockers, Connell, WA 99326",Worker died while riding in an off-road vehicle when the vehicle was struck from behind by another car on the highway.,Fatality
1/11/2013,"Compos Roofing, Oklahoma, OK 73134",Employee died after falling 19 feet while working on an apartment rooftop.,Fatality
1/11/2013,"Luis Colorado, Newark, NJ 07105",Employee died after being crushed between a truck chassis and a container wall inside a parking garage.,Fatality
1/11/2013,"Xceed Resources, El Paso, TX 79905",Employee was struck and killed by a hit-and-run driver while working along an interstate access road.,Fatality
1/10/2013,"Ace Hardware, Vallejo, CA 94589",Worker died when a big rig struck another vehicle and fell off a ramp.,Fatality
1/10/2013,"H. William Paving LLC, Fairfield, NJ 07004",Employee died after being caught between a truck's dump body and frame.,Fatality
1/10/2013,"Mesa Wells Service LP, Jal, NM 88252",Worker died when brakes on the blocks failed and the tubing he was pulling from a well struck and knocked him from a platform.,Fatality
1/9/2013,"Pessoa Construction Company, Perryville, MD",Two construction workers struck and killed by motor vehicles while setting up a road closure. ,Fatality
1/9/2013,"RJ Taylor-Wyatt LLC, Bridgeland, UT 84012 ",Worker struck and killed by 40-foot pipe as it was being placed in a bending machine.,Fatality
1/8/2013,"Johnston Trucking, Memphis, TN 38113",Worker succumbed to injuries sustained after being struck by a front-end loader while waiting for truck to be loaded.,Fatality
1/8/2013,"Keeco LLC, Hayward, CA 94544",Worker's head was crushed between a loading dock and a trailer while backing into a dock.,Fatality
1/7/2013,"Lopez Landscaping, Greenwich, CT 06830",Worker killed when struck by a fallen tree trunk.,Fatality
1/7/2013,"Regal Entertainment Group, Burlington, NJ 08016",Employeed died from injuries sustained after falling from a 6 foot ladder.,Fatality
1/7/2013,"Smith Pipe & Supply LP, Abilene, TX 79606",Employee died after being crushed between a 500-pound barrel-tank and a tractor trailer during loading.,Fatality
1/5/2013,"Ben's Gardening Services, Torrance, CA 90501",Worker electrocuted while trimming pine tree branches at 25 feet when his pruning shears contacted an overhead electrical cable.,Fatality
1/5/2013,"Terex Services North America, Blytheville, AR 72315",Employee died after falling 30 feet from an overhead crane while performing maintenance work.,Fatality
1/4/2013,"American Cable & Rigging Supply Inc., Asheville, NC 28801",Worker died after falling eight feet when the core drilling machine he was using hit rebar.,Fatality
1/4/2013,"Latshaw Drilling & Exploration LLC, Reydon OK 73660",Worker died after falling 30 feet while removing equipment during drilling operations.,Fatality
1/4/2013,"Tom Lane Contractors, Hebron, KY 41048",Worker died after falling 20 feet while working on the steps of a second floor landing.,Fatality
1/4/2013,"WS Consulting & Construction Inc., Mount Vernon, WA 98273",Worker died after falling 80 feet from a cellular tower.,Fatality
1/3/2013,"Landrum Construction, Cincinnati, OH 45011",Employee died after falling 10 feet through the floor while performing residential framing operations.,Fatality
1/2/2013,"Universal Cable Systems Inc., White Castle, LA 70788",Cable service worker died after falling from a ladder.,Fatality
12/31/2012,"Strickland Tree Service, Phenix City, AL 36870",Employee was fatally crushed while performing maintenance on a dump truck.,Fatality
