Fiscal Year ,Summary Report Date,Date of Incident,Company,Preliminary Description of Incident
FY 2011,11/06/10,11/01/10,"Mike S Foy Stucco LLC,, Bradenton, FL 34208","Worker was on a residential roof over a pool deck doing stucco work on a chimney.  Worker lost his footing at the edge of the roof, fell through the pool screen, and struck his head on the concrete pool decking, sustaining head trauma."
FY 2011,11/06/10,11/01/10,"Travel Centers of America,, Brunswick, GA 31523",Worker was replacing a tire on a tractor trailer when the vehicle fell off the jacks and crushed the worker underneath.
FY 2011,11/06/10,11/02/10,"Meade Electric Co. Inc.,, Rock Island, IL 61201","Worker was loading a backhoe onto a low-boy trailer when the backhoe tipped over, fell off the trailer, and crushed the worker underneath the cab."
FY 2011,11/06/10,11/02/10,"Monsanto Company,, Secor, IL 61771",Worker was pinned under truck during work at a rural site.
FY 2011,11/06/10,11/02/10,"Precision Construction & Maintenance, LLC,, Metairie, LA 70119","While excavator was lifting a mat, a chain broke and worker was crushed underneath."
FY 2011,11/06/10,11/03/10,"Bradley Construction, Inc., Charlotte, NC  28205","Two workers were framing on roof of building 30 feet above ground level, when one fell over the side of the building onto the concrete sidewalk below.  He had been walking backwards moving a 2x6 piece of lumber."
FY 2011,11/06/10,11/03/10,"Menominee Tribal Enterprises,, Neopit, WI 54150","Worker was cutting a tree down.  As tree fell, a branch broke off and struck worker."
FY 2011,11/06/10,11/03/10,"Tanner Construction,, Jackson, MS 39211",Worker was riding on top of plywood that was on the forks of a rough terrain forklift.  Worker fell off the plywood and was run over by the forklift.
FY 2011,11/06/10,11/04/10,"Integral Rebar Inc.,, Cumming, GA 30040","Forklift, rigged with telescoping boom, was lowering approximately 3,000 lbs. of rebar into excavated area.  Boom failed, tipping the forklift and causing it to roll onto and crush the worker."
FY 2011,11/06/10,11/05/10,"Adecco, York, PA 17402, Juan C. Parada,","While flagging traffic, worker was struck by a vehicle he was directing to a different lane."
FY 2011,11/06/10,11/05/10,"Juan C. Parada,, Roosevelt, NY 11575",Worker was electrocuted when ladder contacted overhead electrical lines.
FY 2011,11/06/10,11/05/10,"MFA Agri Services,, St. Joseph, MO 64501","After worker attached an ammonia nurse tank to a customer's pickup truck, the truck began to roll.  Customer jumped into truck and hit the wrong pedal.  Truck accelerated and pinned worker."
FY 2011,11/06/10,11/05/10,"Tri City Wastepaper, Inc., Kingsport, TN 37660","Worker, attempting to load a forklift onto a flatbed trailer, suffered fatal injuries after a ramp dropped onto him."
FY 2011,11/13/10,09/11/10,"Double U Livestock, Cherry Creek , NV 89301","Worker who was attempting to jump start a farm tractor, suffered massive trauma to upper torso when pinned between tractor and vehicle."
FY 2011,11/13/10,10/10/10,"OXEA Corporation,, Bishop, TX 78343",Worker was caught in flash fire at a chemical plant and died a month later during his burn recovery.
FY 2011,11/13/10,10/20/10,"American Red Cross,, Cherokee, NC 28719",Worker was working from a parked blood-mobile bus.  Worker was standing near the steps at the front of the bus when she fell out of the bus and fatally hit her head on the curb.
FY 2011,11/13/10,10/25/10,"Contra Costa County Sheriff Department/Jail, Martinez, CA  94533","County jail worker (a nurse) suffered fatal injuries after being struck in the head by an inmate wielding a lamp. She fell, striking her head on floor."
FY 2011,11/13/10,11/03/10,"Wolford-Wethington, Inc., Monticello, KY  42633","Worker, who was unstrapping a double-stacked load from a tractor trailer, was killed when 17 boards of unfinished wood became unstable and fell on him."
FY 2011,11/13/10,11/04/10,"SSA Marine DBA SSA Terminals (Long Beach) LLC.,, Long Beach, CA  90813","Two workers were operating utility tractor rigs (UTRs) moving shipping containers on the dock.  One operator failed to yield the right of way at an intersection, striking the other UTR.   The impact threw the first operator through the front window of the UTR, which continued to move forward and rolled over him. "
FY 2011,11/13/10,11/05/10,"Bosselman, Inc., Hobart, IN 46342",Worker died after being pinned between his service truck and a semi-trailer when the service truck was hit by another vehicle.
FY 2011,11/13/10,11/05/10,"Jackson Township Fire Department, Helmsburg, IN  47435",Worker was pinned against a wall when the truck response vehicle he was working on rolled forward.
FY 2011,11/13/10,11/05/10,"MFA Agri Service,, Sedalia, MO 65301","Worker was standing on the lifted forks of a fork truck to repair a down-spout on a grain bin.  Worker lost balance and fell approximately 6 feet, striking his head on the concrete pavement."
FY 2011,11/13/10,11/05/10,"Sonoco Products Company, Raleigh, NC 27610",Worker at recycling center was operating a forklift with a scoop attached to the forks.  Operator remained in the vehicle while maintenance worker partially removed damaged bolt holding the hydraulic piston to the scoop and walked away to get additional tools.  Operator became pinned between the scoop and the mast of the forklift.
FY 2011,11/13/10,11/08/10,"Aevenia, Inc.,, Tioga, ND 58852","While worker was installing underground power cable, when the digging apparatus struck a buried gas line.  Worker was killed by a natural gas compressed-gas concussion."
FY 2011,11/13/10,11/08/10,"K & W Recycling,, Troy, AL 36081",An 18-wheeler backed up and ran over two workers who were standing behind the truck.
FY 2011,11/13/10,11/08/10,"Rose Brother's Paving Company, Inc., Bath, NC 27808","Worker, a roller operator, walked away from his equipment and  was run over by a dump truck backing out into an open lane."
FY 2011,11/13/10,11/08/10,"Seven Valleys Concrete, LLC.,, Centerton, AR 72719","While finishing poured concrete with a broom, the handle extension of the broom contacted an overhead electrical line when the worker lifted the broom to reposition it."
FY 2011,11/13/10,11/09/10,"Mollenberg-Betz, Inc.,, Buffalo, NY 14207","Worker died while performing hot work on top of a 10,000-gallon chemical storage tank that exploded."
FY 2011,11/13/10,11/09/10,"Schwab Dairy Farm LLC.,, Delevan, NY 14042",Worker entered a manure spreader and was overcome by methane gas.
FY 2011,11/13/10,11/09/10,"Univar USA Inc.,, Houston, TX 77041","While unloading a tanker truck containing lighter fluid, worker began gasping for air.  Although treated with oxygen, worker later died at the hospital."
FY 2011,11/13/10,11/09/10,"Veolia Environmental Services,, Zion, IL 60099","While lifting a dumpster on the back of the garbage truck, the truck's locking mechanism apparently failed, causing the dumpster to fall and strike worker."
FY 2011,11/13/10,11/09/10,"Wagram Paper Stock, Inc., Wagram, NC  28396",Worker was run over by a forklift in an area where forklifts were moving bales of paper.  Worker may have tripped and fallen before being run over.
FY 2011,11/13/10,11/10/10,"Allen Painting & Decorating,, Cleveland, OH 44115",Mechanical lift rolled over and crushed worker.
