Date of Incident,"Company, City, State, ZIP",Preliminary Description of Incident,Fatality or Catastrophe,Inspection #,,,,,,,,,,,,,
8/26/2014,"Langley Productions Inc., Omaha, NE 68131",Worker shot and killed while filming armed robbery.,Fatality,,,,,,,,,,,,,,
8/26/2014,"Midwest Underground Technology Inc., Chickasha, OK 73023",Two workers struck and killed by motor vehicle.,Fatality,,,,,,,,,,,,,,
8/25/2014,"Camp Industries Inc., Scottsdale, AZ 85254",Worker troubleshooting pump problem in sewage lift station killed by toxic atmosphere.,Fatality,,,,,,,,,,,,,,
8/25/2014,"Hawaii Logistics, LLC Honolulu, HI  96707",Worker fatally crushed between forklift and warehouse pallet rack.,Fatality,,,,,,,,,,,,,,
8/25/2014,"Hopkins Fabrication Service, Plainfield, CT 06374",Worker struck and killed by rail car.,Fatality,,,,,,,,,,,,,,
8/25/2014,"John Crowley Inc., Jackson, MI 49204",Worker fatally crushed by metal guard being fabricated by shot blast machine.,Fatality,,,,,,,,,,,,,,
8/25/2014,"R&S Firearms, Inc. White Hills, AZ 86445",Worker fatally shot while giving firing instructions.,Fatality,,,,,,,,,,,,,,
8/25/2014,"Somatex Inc., Rumford, ME 04276",Worker killed in fall from bridge crane.,Fatality,,,,,,,,,,,,,,
8/25/2014,"Sutton Bay Golf LLC, Agar, SD 57520",Employer killed in ATV crash.,Fatality,,,,,,,,,,,,,,
8/25/2014,"Total Metal Recycling Inc., Granite City, IL 62040",Two workers killed in explosion of stored mortar shells and mines.,Fatality,,,,,,,,,,,,,,
8/25/2014,"Urbana Tn Hwy Dept., Hammondsport, NY 14840",Worker electrocuted when dump truck contacted overhead power lines. ,Fatality,,,,,,,,,,,,,,
8/24/2014,"Boulevard Cadillac, Signal Hill, CA 90755",Worker fatally crushed when steel grate fell on him.,Fatality,,,,,,,,,,,,,,
8/23/2014,"Campeon Roofing and Waterproofing Inc., Franklin, OH 45005",Worker killed in fall from roof.,Fatality,,,,,,,,,,,,,,
8/23/2014,"Southwind Refrigeration Services Inc., Curtis Bay, MD 21226",Worker removing ceiling panels killed in fall.,Fatality,,,,,,,,,,,,,,
8/23/2014,"Southwind Refrigeration Services Inc., Millersville, MD 21122",Worker installing ceiling panels killed in fall.,Fatality,,,,,,,,,,,,,,
